symbol_id,path,symbol,kind,line,training_eligibility
CWTV-SYM-000110,scripts/check_nexvox_engineering_corpus.py,flat_yaml,function,98,TRAINING_ELIGIBLE
CWTV-SYM-000111,scripts/check_nexvox_engineering_corpus.py,main,function,111,TRAINING_ELIGIBLE
CWTV-SYM-000112,scripts/check_repository_tree.py,fail,function,55,TRAINING_ELIGIBLE
CWTV-SYM-000113,scripts/check_repository_tree.py,load_json,function,60,TRAINING_ELIGIBLE
CWTV-SYM-000114,scripts/check_repository_tree.py,main,function,67,TRAINING_ELIGIBLE
CWTV-SYM-000115,scripts/check_termux_linux_workflow.py,pass_line,function,52,TRAINING_ELIGIBLE
CWTV-SYM-000116,scripts/check_termux_linux_workflow.py,fail,function,56,TRAINING_ELIGIBLE
CWTV-SYM-000117,scripts/check_termux_linux_workflow.py,read,function,60,TRAINING_ELIGIBLE
CWTV-SYM-000118,scripts/check_termux_linux_workflow.py,main,function,64,TRAINING_ELIGIBLE
CWTV-SYM-000119,scripts/chronicle_core.py,repo_root_from_script,function,31,TRAINING_ELIGIBLE
CWTV-SYM-000120,scripts/chronicle_core.py,ledger_path,function,35,TRAINING_ELIGIBLE
CWTV-SYM-000121,scripts/chronicle_core.py,utc_now_iso,function,39,TRAINING_ELIGIBLE
CWTV-SYM-000122,scripts/chronicle_core.py,parse_timestamp,function,43,TRAINING_ELIGIBLE
CWTV-SYM-000123,scripts/chronicle_core.py,canonical_event_payload,function,51,TRAINING_ELIGIBLE
CWTV-SYM-000124,scripts/chronicle_core.py,calculate_event_sha256,function,56,TRAINING_ELIGIBLE
CWTV-SYM-000125,scripts/chronicle_core.py,_walk_sensitive_keys,function,60,TRAINING_ELIGIBLE
CWTV-SYM-000126,scripts/chronicle_core.py,validate_event,function,75,TRAINING_ELIGIBLE
CWTV-SYM-000127,scripts/chronicle_core.py,load_events,function,175,TRAINING_ELIGIBLE
CWTV-SYM-000128,scripts/chronicle_core.py,make_event,function,196,TRAINING_ELIGIBLE
CWTV-SYM-000129,scripts/chronicle_core.py,append_event,function,247,TRAINING_ELIGIBLE
CWTV-SYM-000130,scripts/export_openapi_contract.py,repo_root,function,12,TRAINING_ELIGIBLE
CWTV-SYM-000131,scripts/export_openapi_contract.py,canonical_openapi_text,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000132,scripts/export_openapi_contract.py,main,function,28,TRAINING_ELIGIBLE
CWTV-SYM-000133,scripts/record_engineering_activity.py,parse_details,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000134,scripts/record_engineering_activity.py,main,function,29,TRAINING_ELIGIBLE
CWTV-SYM-000135,scripts/run_and_record.py,rebuild_projections,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000136,scripts/run_and_record.py,main,function,26,TRAINING_ELIGIBLE
CWTV-SYM-000137,services/api/cinewatch_api/api/system.py,health,function,17,TRAINING_ELIGIBLE
CWTV-SYM-000138,services/api/cinewatch_api/api/system.py,status,function,27,TRAINING_ELIGIBLE
CWTV-SYM-000139,services/api/cinewatch_api/api/system_state.py,_settings,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000140,services/api/cinewatch_api/api/system_state.py,health_response,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000141,services/api/cinewatch_api/api/system_state.py,status_response,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000142,services/api/cinewatch_api/api/v1/system.py,status,function,17,TRAINING_ELIGIBLE
CWTV-SYM-000143,services/api/cinewatch_api/application.py,_lifespan,function,23,TRAINING_ELIGIBLE
CWTV-SYM-000144,services/api/cinewatch_api/application.py,lifespan,async_function,25,TRAINING_ELIGIBLE
CWTV-SYM-000145,services/api/cinewatch_api/application.py,create_app,function,48,TRAINING_ELIGIBLE
CWTV-SYM-000146,services/api/cinewatch_api/contracts/errors.py,ErrorBody,class,6,TRAINING_ELIGIBLE
CWTV-SYM-000147,services/api/cinewatch_api/contracts/errors.py,ErrorEnvelope,class,14,TRAINING_ELIGIBLE
CWTV-SYM-000148,services/api/cinewatch_api/contracts/system.py,HealthResponse,class,10,TRAINING_ELIGIBLE
CWTV-SYM-000149,services/api/cinewatch_api/contracts/system.py,StatusResponse,class,17,TRAINING_ELIGIBLE
CWTV-SYM-000150,services/api/cinewatch_api/database/base.py,Base,class,15,TRAINING_ELIGIBLE
CWTV-SYM-000151,services/api/cinewatch_api/database/engine.py,create_database_engine,function,11,TRAINING_ELIGIBLE
CWTV-SYM-000152,services/api/cinewatch_api/database/session.py,create_session_factory,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000153,services/api/cinewatch_api/database/url.py,DatabaseConfigurationError,class,12,TRAINING_ELIGIBLE
CWTV-SYM-000154,services/api/cinewatch_api/database/url.py,require_database_url,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000155,services/api/cinewatch_api/database/url.py,safe_database_url,function,42,TRAINING_ELIGIBLE
CWTV-SYM-000156,services/api/cinewatch_api/errors.py,ApiError,class,16,TRAINING_ELIGIBLE
CWTV-SYM-000157,services/api/cinewatch_api/errors.py,__init__,function,19,TRAINING_ELIGIBLE
CWTV-SYM-000158,services/api/cinewatch_api/errors.py,_request_id,function,26,TRAINING_ELIGIBLE
CWTV-SYM-000159,services/api/cinewatch_api/errors.py,_response,function,30,TRAINING_ELIGIBLE
CWTV-SYM-000160,services/api/cinewatch_api/errors.py,api_error_handler,async_function,37,TRAINING_ELIGIBLE
CWTV-SYM-000161,services/api/cinewatch_api/errors.py,validation_error_handler,async_function,46,TRAINING_ELIGIBLE
CWTV-SYM-000162,services/api/cinewatch_api/errors.py,unhandled_error_handler,async_function,56,TRAINING_ELIGIBLE
CWTV-SYM-000163,services/api/cinewatch_api/errors.py,register_exception_handlers,function,70,TRAINING_ELIGIBLE
CWTV-SYM-000164,services/api/cinewatch_api/logging.py,JsonFormatter,class,22,TRAINING_ELIGIBLE
CWTV-SYM-000165,services/api/cinewatch_api/logging.py,format,function,25,TRAINING_ELIGIBLE
CWTV-SYM-000166,services/api/cinewatch_api/logging.py,configure_logging,function,41,TRAINING_ELIGIBLE
CWTV-SYM-000167,services/api/cinewatch_api/middleware/request_id.py,_request_id,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000168,services/api/cinewatch_api/middleware/request_id.py,RequestIdMiddleware,class,22,TRAINING_ELIGIBLE
CWTV-SYM-000169,services/api/cinewatch_api/middleware/request_id.py,__init__,function,25,TRAINING_ELIGIBLE
CWTV-SYM-000170,services/api/cinewatch_api/middleware/request_id.py,__call__,async_function,28,TRAINING_ELIGIBLE
CWTV-SYM-000171,services/api/cinewatch_api/middleware/request_id.py,send_with_request_id,async_function,37,TRAINING_ELIGIBLE
CWTV-SYM-000172,services/api/cinewatch_api/settings.py,Settings,class,13,TRAINING_ELIGIBLE
CWTV-SYM-000173,services/api/cinewatch_api/settings.py,get_settings,function,31,TRAINING_ELIGIBLE
CWTV-SYM-000174,services/api/migrations/env.py,_database_url,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000175,services/api/migrations/env.py,run_migrations_offline,function,25,TRAINING_ELIGIBLE
CWTV-SYM-000176,services/api/migrations/env.py,run_migrations_online,function,40,TRAINING_ELIGIBLE
CWTV-SYM-000177,services/api/migrations/versions/0001_postgresql_migration_foundation.py,upgrade,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000178,services/api/migrations/versions/0001_postgresql_migration_foundation.py,downgrade,function,22,TRAINING_ELIGIBLE
CWTV-SYM-000179,services/api/tests/conftest.py,settings,function,11,TRAINING_ELIGIBLE
CWTV-SYM-000180,services/api/tests/conftest.py,client,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000181,services/api/tests/test_contract_snapshot.py,test_canonical_openapi_snapshot_matches_fastapi_authority,function,10,TRAINING_ELIGIBLE
CWTV-SYM-000182,services/api/tests/test_database_foundation.py,test_database_url_is_optional_until_database_operation,function,12,TRAINING_ELIGIBLE
CWTV-SYM-000183,services/api/tests/test_database_foundation.py,test_database_url_accepts_only_psycopg_postgresql,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000184,services/api/tests/test_database_foundation.py,test_database_url_rejects_non_postgresql_driver,function,35,TRAINING_ELIGIBLE
CWTV-SYM-000185,services/api/tests/test_database_foundation.py,test_database_url_redacts_password,function,45,TRAINING_ELIGIBLE
CWTV-SYM-000186,services/api/tests/test_errors.py,_settings,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000187,services/api/tests/test_errors.py,test_api_error_envelope,function,13,TRAINING_ELIGIBLE
CWTV-SYM-000188,services/api/tests/test_errors.py,fail,function,16,TRAINING_ELIGIBLE
CWTV-SYM-000189,services/api/tests/test_errors.py,test_unhandled_error_envelope,function,34,TRAINING_ELIGIBLE
CWTV-SYM-000190,services/api/tests/test_errors.py,fail,function,37,TRAINING_ELIGIBLE
CWTV-SYM-000191,services/api/tests/test_migration_foundation.py,test_migration_lineage_has_single_foundation_head,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000192,services/api/tests/test_migration_foundation.py,test_foundation_revision_contains_no_domain_operations,function,20,TRAINING_ELIGIBLE
CWTV-SYM-000193,services/api/tests/test_openapi.py,test_openapi_exposes_only_skeleton_routes,function,11,TRAINING_ELIGIBLE
CWTV-SYM-000194,services/api/tests/test_openapi.py,test_openapi_operation_ids_are_explicit_and_stable,function,22,TRAINING_ELIGIBLE
CWTV-SYM-000195,services/api/tests/test_request_id.py,test_safe_request_id_is_propagated,function,4,TRAINING_ELIGIBLE
CWTV-SYM-000196,services/api/tests/test_request_id.py,test_invalid_request_id_is_replaced,function,11,TRAINING_ELIGIBLE
CWTV-SYM-000197,services/api/tests/test_settings.py,test_settings_defaults,function,4,TRAINING_ELIGIBLE
CWTV-SYM-000198,services/api/tests/test_settings.py,test_settings_accept_field_names,function,13,TRAINING_ELIGIBLE
CWTV-SYM-000199,services/api/tests/test_system_endpoints.py,test_health,function,4,TRAINING_ELIGIBLE
CWTV-SYM-000200,services/api/tests/test_system_endpoints.py,test_root_status,function,12,TRAINING_ELIGIBLE
CWTV-SYM-000201,services/api/tests/test_system_endpoints.py,test_v1_status_matches_root_status,function,25,TRAINING_ELIGIBLE
CWTV-SYM-000202,tests/repository/test_backend_skeleton.py,BackendSkeletonQualificationTest,class,8,TRAINING_ELIGIBLE
CWTV-SYM-000203,tests/repository/test_backend_skeleton.py,test_backend_skeleton_contract,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000204,tests/repository/test_ci_security_quality.py,CiSecurityQualityFoundationTests,class,9,TRAINING_ELIGIBLE
CWTV-SYM-000205,tests/repository/test_ci_security_quality.py,test_ci_security_quality_policy,function,10,TRAINING_ELIGIBLE
CWTV-SYM-000206,tests/repository/test_contract_foundation.py,ContractFoundationRepositoryTest,class,9,TRAINING_ELIGIBLE
CWTV-SYM-000207,tests/repository/test_contract_foundation.py,test_contract_foundation_policy,function,10,TRAINING_ELIGIBLE
CWTV-SYM-000208,tests/repository/test_database_foundation.py,test_database_foundation_paths_exist,function,6,TRAINING_ELIGIBLE
CWTV-SYM-000209,tests/repository/test_database_foundation.py,test_database_dependencies_are_governed,function,23,TRAINING_ELIGIBLE
CWTV-SYM-000210,tests/repository/test_engineering_chronicle.py,EngineeringChronicleRepositoryTest,class,9,TRAINING_ELIGIBLE
CWTV-SYM-000211,tests/repository/test_engineering_chronicle.py,test_engineering_chronicle_policy,function,10,TRAINING_ELIGIBLE
CWTV-SYM-000212,tests/repository/test_frontend_skeleton.py,FrontendSkeletonRepositoryTest,class,11,TRAINING_ELIGIBLE
CWTV-SYM-000213,tests/repository/test_frontend_skeleton.py,test_frontend_skeleton_policy,function,12,TRAINING_ELIGIBLE
CWTV-SYM-000214,tests/repository/test_nexvox_engineering_corpus.py,NexVoxEngineeringCorpusQualificationTest,class,9,TRAINING_ELIGIBLE
CWTV-SYM-000215,tests/repository/test_nexvox_engineering_corpus.py,test_nexvox_engineering_corpus_contract,function,10,TRAINING_ELIGIBLE
CWTV-SYM-000216,tests/repository/test_nexvox_engineering_corpus.py,test_projection_commit_rejects_non_generated_paths,function,21,TRAINING_ELIGIBLE
CWTV-SYM-000217,tests/repository/test_repository_tree.py,RepositoryTreeQualificationTest,class,8,TRAINING_ELIGIBLE
CWTV-SYM-000218,tests/repository/test_repository_tree.py,test_repository_tree_contract,function,9,TRAINING_ELIGIBLE
CWTV-SYM-000219,tests/repository/test_termux_linux_workflow.py,TermuxLinuxWorkflowFoundationTests,class,9,TRAINING_ELIGIBLE
CWTV-SYM-000220,tests/repository/test_termux_linux_workflow.py,test_termux_linux_workflow_policy,function,10,TRAINING_ELIGIBLE
